Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,Salary,SalaryType,ConvertedSalary
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;DevOps specialist;Educator or academic researcher;QA or test developer;System administrator,12-14 years,120000.0,Yearly,120000.0
Yes,Yes,United States,"Yes, full-time",Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;Full-stack developer;Game or graphics developer;Student,6-8 years,120000.0,Yearly,120000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)","1,000 to 4,999 employees",Data scientist or machine learning specialist;Database administrator,9-11 years,70000.0,Yearly,70000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist,21-23 years,185000.0,Yearly,185000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;DevOps specialist;Front-end developer;Full-stack developer;System administrator,3-5 years,125000.0,Yearly,125000.0
No,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",100 to 499 employees,Data scientist or machine learning specialist,15-17 years,113000.0,Yearly,113000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Data scientist or machine learning specialist;Designer;Front-end developer;Full-stack developer,12-14 years,83000.0,Yearly,83000.0
Yes,No,United States,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","5,000 to 9,999 employees",Data scientist or machine learning specialist;Student,12-14 years,40000.0,,40000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,20 to 99 employees,Data scientist or machine learning specialist,12-14 years,300000.0,Yearly,300000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;DevOps specialist;Full-stack developer;Product manager;QA or test developer,0-2 years,60000.0,,60000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist,9-11 years,130000.0,,130000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,20 to 99 employees,Data or business analyst;Data scientist or machine learning specialist,3-5 years,60000.0,Yearly,60000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A humanities discipline (ex. literature, history, philosophy)","1,000 to 4,999 employees",Data or business analyst;Data scientist or machine learning specialist;Designer,9-11 years,120000.0,Yearly,120000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Full-stack developer,18-20 years,102000.0,Yearly,102000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)",100 to 499 employees,Data or business analyst;Data scientist or machine learning specialist,0-2 years,80000.0,Yearly,80000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,500 to 999 employees,Back-end developer;Data scientist or machine learning specialist;Engineering manager;Front-end developer;Full-stack developer;System administrator,21-23 years,120000.0,,120000.0
Yes,No,United States,"Yes, full-time",Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",100 to 499 employees,Data scientist or machine learning specialist;Embedded applications or devices developer;Student,3-5 years,1000.0,Weekly,50000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist,6-8 years,115000.0,,115000.0
Yes,No,United States,"Yes, part-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",100 to 499 employees,Data or business analyst;Data scientist or machine learning specialist;Student,0-2 years,65000.0,Yearly,65000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,"10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Front-end developer;Full-stack developer,9-11 years,75000.0,Yearly,75000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Educator or academic researcher,27-29 years,149000.0,,149000.0
Yes,No,United States,"Yes, full-time",Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,"10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Front-end developer;Full-stack developer;Student,0-2 years,100000.0,Yearly,100000.0
Yes,Yes,United States,No,Employed full-time,,,"10,000 or more employees",Data scientist or machine learning specialist,18-20 years,150000.0,,150000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,10 to 19 employees,Back-end developer;Data scientist or machine learning specialist;Database administrator;System administrator,6-8 years,57000.0,Yearly,57000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist,24-26 years,150000.0,,150000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Data scientist or machine learning specialist,15-17 years,135000.0,Yearly,135000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Data scientist or machine learning specialist;DevOps specialist;Engineering manager;Full-stack developer;QA or test developer;System administrator,18-20 years,115000.0,,115000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",500 to 999 employees,Data or business analyst;Data scientist or machine learning specialist,15-17 years,125000.0,,125000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A humanities discipline (ex. literature, history, philosophy)","1,000 to 4,999 employees",Data scientist or machine learning specialist,12-14 years,9800.0,Monthly,117600.0
